Args: {'audio': ['audio/source_audio.wav'], 'model': 'mlx-community/whisper-large-v3-mlx', 'output_name': 'subtitles_zh_v2', 'output_dir': 'transcripts', 'output_format': 'srt', 'verbose': True, 'task': 'transcribe', 'language': 'yue', 'temperature': 0, 'best_of': 5, 'patience': None, 'length_penalty': None, 'suppress_tokens': '-1', 'initial_prompt': None, 'condition_on_previous_text': False, 'fp16': True, 'compression_ratio_threshold': 2.4, 'logprob_threshold': -1.0, 'no_speech_threshold': 0.6, 'word_timestamps': False, 'prepend_punctuations': '"\'“¿([{-', 'append_punctuations': '"\'.。,，!！?？:：”)]}、', 'highlight_words': False, 'max_line_width': None, 'max_line_count': None, 'max_words_per_line': None, 'hallucination_silence_threshold': None, 'clip_timestamps': '0'}
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 4907.05it/s]
[00:00.000 --> 00:05.600]  我想近這一個月來
[00:05.600 --> 00:08.000]  我想很多人都關心這個
[00:08.000 --> 00:10.760]  美國、以色列和伊朗的戰爭
[00:10.760 --> 00:14.000]  一個牽動世界局勢的戰爭
[00:14.000 --> 00:18.000]  今天我也想用這個作為一個開始
[00:18.000 --> 00:20.000]  不過就從另外一個角度
[00:20.000 --> 00:25.000]  我覺得戰爭是一個平台
[00:25.000 --> 00:31.860]  你可以看到人在這方面的發明是很厲害的
[00:31.860 --> 00:36.900]  在這次的戰爭裡面 你看到各樣不同的武器
[00:36.900 --> 00:39.660]  不知道大家有沒有留意時事
[00:39.660 --> 00:45.020]  在這個左上角 被稱為MOAB
[00:45.020 --> 00:47.460]  就是Mother of all Bomb
[00:47.460 --> 00:54.700]  就是常規武器裡面最厲害的一個炸彈
[00:54.700 --> 01:02.520]  甚至投彈的時候要用G170大力士運輸機的
[01:02.520 --> 01:05.140]  因為太重太大
[01:05.140 --> 01:07.440]  因為這個mother of all bomb
[01:07.440 --> 01:09.100]  是常規武器裡面最厲害的
[01:09.100 --> 01:12.920]  就是說如果你要提升那個戰力
[01:12.920 --> 01:15.780]  你就要用這個非常規武器
[01:15.780 --> 01:18.180]  比如說核彈等等
[01:18.180 --> 01:20.200]  那就用到很盡了
[01:20.200 --> 01:23.200]  旁邊那個就是鑽地彈
[01:23.200 --> 01:27.680]  因為你知道伊朗有很多那些地下的導彈城
[01:27.680 --> 01:29.900]  地下的核設施
[01:29.900 --> 01:35.980]  投射這些轉彈的就是這個B-2轟炸機
[01:35.980 --> 01:39.120]  左手邊下面那張就是
[01:39.120 --> 01:40.680]  那個是一個魚類來的
[01:40.680 --> 01:47.780]  一個Mk 48超重的魚類
[01:47.780 --> 01:53.040]  我想你都還記得在印度洋
[01:53.040 --> 01:58.320]  有一架伊朗的護衛艦在印度演習完
[01:58.320 --> 02:03.500]  就回伊朗在途中被美國的潛艇擊沉
[02:03.500 --> 02:07.720]  其實這架護衛艦不是很大格也不是很先進的
[02:07.720 --> 02:10.560]  其實打它可以用飛彈都可以的
[02:10.560 --> 02:15.600]  有時候用飛彈你還會給它時間能夠逃生
[02:15.600 --> 02:18.280]  但是他們竟然用到這個魚雷
[02:18.280 --> 02:21.360]  你看見在YouTube裡面
[02:21.360 --> 02:23.360]  你可以看見很快就沉了
[02:23.360 --> 02:26.740]  當斯蘭卡的舊船艦去到的時候
[02:26.740 --> 02:28.740]  其實船已經沉了
[02:28.740 --> 02:36.100]  那為什麼會用到超重魚雷去對付它呢?
[02:36.100 --> 02:39.540]  聽說當日在美國的潛艇
[02:39.540 --> 02:42.440]  那個叫洛杉磯級的潛艇
[02:42.440 --> 02:47.560]  有兩個澳洲的海軍人員接受訓練
[02:47.560 --> 02:52.060]  那你知道澳洲就買了美國的核潛艇
[02:52.060 --> 02:55.100]  也都某程度就默許了
[02:55.100 --> 02:57.860]  如果太平洋第一島鏈有什麼事
[02:57.860 --> 03:02.360]  澳洲就會出兵
[03:02.360 --> 03:05.360]  所以其實當日在潛艇裡面
[03:05.360 --> 03:10.680]  應該也是一個實戰訓練來的
[03:10.680 --> 03:14.440]  而旁邊那個呢 都很厲害
[03:14.440 --> 03:16.820]  那個叫石密蛋
[03:16.820 --> 03:22.720]  就是說它威脅炸伊朗的發電廠
[03:22.720 --> 03:27.680]  你發覺不是傷害民生的東西
[03:27.680 --> 03:30.240]  因為他們發覺有一個現象就是
[03:30.240 --> 03:34.440]  在一些鄉村、在一些人口少的地方
[03:34.440 --> 03:36.440]  大概用電量很高
[03:36.440 --> 03:39.620]  很可能就是背後有一些核設施
[03:39.620 --> 03:41.860]  又說有一些軍事設施
[03:41.860 --> 03:44.080]  所以他們為什麼美國要求
[03:44.080 --> 03:47.600]  要脅說要炸這個發電廠
[03:47.600 --> 03:50.480]  但是如果炸了發電廠就不得了
[03:50.480 --> 03:52.360]  影響很多人、影響民生
[03:52.360 --> 03:54.240]  所以這個石墨彈是什麼呢?
[03:54.240 --> 03:56.440]  就是它一投入的時候
[03:56.440 --> 04:00.680]  那些石墨本身使得很多短路發生
[04:00.680 --> 04:02.380]  就使得它輸不了電
[04:02.380 --> 04:06.380]  但是那個發電廠和那些發電設施
[04:06.380 --> 04:08.180]  是沒有被摧毀的
[04:08.180 --> 04:12.020]  你可以看到是不是很厲害
[04:12.020 --> 04:15.600]  其實這些的戰爭科技
[04:15.600 --> 04:18.680]  又例如美國的無人機
[04:18.680 --> 04:20.220]  Lucas 無人機
[04:20.220 --> 04:23.020]  另外無人快艇、無人艇
[04:23.020 --> 04:27.380]  你看到左下角有一個叫做 Starship
[04:27.380 --> 04:30.200]  其實這個也是 SpaceX 的
[04:30.200 --> 04:32.760]  Starlink 就是為民用的
[04:32.760 --> 04:35.580]  Starship 就是為軍用的
[04:35.580 --> 04:38.840]  所以你發覺如果拆開那些無人機的機頭
[04:38.840 --> 04:41.180]  有一些接收器的
[04:41.180 --> 04:44.400]  那就是那些SARS-CoV的導航來的
[04:44.400 --> 04:48.260]  另外在這個右手邊的上角
[04:48.260 --> 04:53.080]  那個就是激光炮
[04:53.080 --> 04:56.860]  其實近年呢 由2023年開始
[04:56.860 --> 05:00.620]  他們很流行的一件事情就是所謂的飽和攻擊
[05:00.620 --> 05:05.040]  用一些很便宜的武器 比如說無人機
[05:05.040 --> 05:08.020]  或者一些很便宜的導彈
[05:08.020 --> 05:10.420]  這樣呢
[05:10.420 --> 05:14.200]  以下的導彈是更加貴的
[05:14.200 --> 05:17.000]  我想你都聽過就是1比100
[05:17.000 --> 05:19.960]  就是說那個導彈的價值
[05:19.960 --> 05:22.000]  是那個無人機的100倍
[05:22.000 --> 05:24.900]  那就是人家出豉油
[05:24.900 --> 05:26.820]  點都點乾你了
[05:26.820 --> 05:28.020]  所以你發覺呢
[05:28.020 --> 05:33.620]  在這次裡面你看到很多很便宜的
[05:33.620 --> 05:40.620]  從這些武器裡面
[05:40.620 --> 05:45.580]  你可以看到科技相當先進
[05:45.580 --> 05:49.340]  曾經有人說 人發明的武器
[05:49.340 --> 05:53.660]  從來都沒有在戰場上不被應用的
[05:53.660 --> 05:56.920]  而事實上在戰爭歷史裡面
[05:56.920 --> 05:59.600]  武器呢 我可以說有幾次的
[05:59.600 --> 06:02.520]  有三次的革命的發展的
[06:02.520 --> 06:06.520]  那我就很想用這個叫做骨幹講一下
[06:06.520 --> 06:09.480]  如果有人問你 在歷史裡面
[06:09.480 --> 06:13.960]  最大的帝國是哪一個呢?
[06:13.960 --> 06:16.400]  不知道你會不會說是蒙古帝國 正確的
[06:16.400 --> 06:19.740]  因為在歐亞一大片的裡面
[06:19.740 --> 06:23.320]  蒙古帝國橫跨歐亞大陸是很大片
[06:23.320 --> 06:26.820]  那為什麼他們能夠這麼厲害呢?
[06:26.820 --> 06:31.580]  蒙古最厲害的就是它的騎兵
[06:31.580 --> 06:33.540]  我覺得這幅畫裡面
[06:33.540 --> 06:34.660]  當我找到這幅畫
[06:34.660 --> 06:36.660]  我覺得這幅畫的人
[06:36.660 --> 06:38.840]  他都相當認識蒙古的騎兵的
[06:38.840 --> 06:39.840]  為什麼呢?
[06:39.840 --> 06:44.720]  因為蒙古兵其中一樣的厲害就是它的弓
[06:44.720 --> 06:46.720]  那個弓有名的叫反曲弓
[06:46.720 --> 06:50.060]  你看那兩邊是不是勾出來的
[06:50.060 --> 06:54.140]  比起當時的十三世紀的弓
[06:54.140 --> 06:55.640]  強成三、四倍的
[06:55.640 --> 06:59.160]  近距離可以射穿盔甲的
[06:59.160 --> 07:01.840]  另外還有一樣東西就是馬燈
[07:01.840 --> 07:06.120]  就是說上馬的時候那個腳踏那個馬燈
[07:06.120 --> 07:09.020]  雖然馬燈不是蒙古人發明的
[07:09.020 --> 07:13.880]  但是馬燈的功用蒙古就將它發揮到極致
[07:13.880 --> 07:16.540]  為什麼呢?因為由於馬燈的緣故
[07:16.540 --> 07:19.960]  那個騎馬的人能夠站在馬背上
[07:19.960 --> 07:23.380]  而他可以在360度去射箭
[07:23.380 --> 07:29.880]  去壓制著對方 因為有馬燈有這麼強的弓
[07:29.880 --> 07:33.380]  所以有一招很出名的就是回馬戰
[07:33.380 --> 07:36.540]  你不要以為它敗走你追著它
[07:36.540 --> 07:42.520]  它轉頭就可以拿你命了
[07:42.520 --> 07:45.560]  所以你看見蒙古在13世紀
[07:45.560 --> 07:49.560]  橫掃沒有人能夠去打
[07:49.560 --> 07:57.200]  第一次的武器的革命是什麼呢?
[07:57.200 --> 08:01.840]  就是人們用火藥 將火藥應用在軍事上面
[08:01.840 --> 08:09.380]  那就出現了這個火槍 另外就是火炮
[08:09.380 --> 08:12.320]  所以如果有人問你 最大的帝國
[08:12.320 --> 08:17.660]  其實 算面積不是蒙古 算面積
[08:17.660 --> 08:20.100]  你都很熟的了 就是什麼呢?
[08:20.100 --> 08:23.680]  就是入不落帝國 就是大英帝國
[08:23.680 --> 08:25.780]  就是在歷史中
[08:25.780 --> 08:30.200]  算面積最大的就是大英帝國
[08:30.200 --> 08:32.500]  這個就是第一次的
[08:32.500 --> 08:39.300]  在戰爭上、武器上的革命
[08:39.300 --> 08:43.700]  如果有人跟你講三分熟、五分熟
[08:43.700 --> 08:47.020]  或者全熟 你會想起什麼呢?
[08:47.020 --> 08:50.640]  可能你會想起是不是教人煎牛扒呢?
[08:50.640 --> 08:52.520]  其實這個是一個 jargon 來的
[08:52.520 --> 08:55.060]  是一個 term 來的
[08:55.060 --> 08:59.060]  就是某國、某大國 即美國
[08:59.060 --> 09:01.940]  美國一旦如果遇到核攻擊
[09:01.940 --> 09:05.460]  所作出的反應的一個選項來的
[09:05.460 --> 09:09.700]  到底三分熟、五分熟是全熟呢?
[09:09.700 --> 09:16.160]  其實講的就不是牛扒 而是地球
[09:16.160 --> 09:19.600]  即是一旦受到攻擊 受到核攻擊
[09:19.600 --> 09:22.820]  作出的反應到底是同歸於盡呢?
[09:22.820 --> 09:28.140]  還是怎樣的回應呢?
[09:28.140 --> 09:32.540]  所以第二個革命在武器史上
[09:32.540 --> 09:37.060]  就是核子彈的發明
[09:37.060 --> 09:39.680]  那你知道核子彈發明了之後
[09:39.680 --> 09:44.060]  沒有多久就投了兩顆在日本
[09:44.060 --> 09:48.580]  而美國相當強 到現在都是了
[09:48.580 --> 09:54.760]  那麽核子彈呢 我覺得都還有兩樣東西是很特別的
[09:54.760 --> 09:58.840]  第一就是什麽呢? 就是你要有這個核燃料
[09:58.840 --> 10:02.520]  而這些核燃料呢 基本上不是那麽容易得到的
[10:02.520 --> 10:07.640]  譬如現在伊朗呢 它很想成為擁有核武的國家
[10:07.640 --> 10:13.700]  但是要提煉 要得到這些的核燃料不是那麽容易的
[10:13.700 --> 10:18.260]  再加上在國際上有所謂核不擴散條約
[10:18.260 --> 10:21.600]  所以由1945年到現在
[10:21.600 --> 10:26.120]  其實都只有10個國家是擁有核子的武器
[10:26.120 --> 10:28.740]  即是核子的能力而已
[10:28.740 --> 10:32.620]  不過一提你發覺就最後那兩個
[10:32.620 --> 10:36.260]  我都打了一年份了 不知道你看不看得到
[10:36.260 --> 10:39.180]  最後那兩個成為核國家的是什麼?
[10:39.180 --> 10:42.700]  最後那個就是北韓 2006年
[10:42.700 --> 10:47.300]  接著再上一個就是巴基斯坦
[10:47.300 --> 10:50.700]  好了 今天我們的聚會有一個題目
[10:50.700 --> 10:53.020]  有個名字叫做機械殺手
[10:53.020 --> 10:55.020]  或者叫做殺手機械人
[10:55.020 --> 10:57.620]  其實機械人在生活上面
[10:57.620 --> 11:00.300]  在很多方面已經影響到大家了
[11:00.300 --> 11:05.260]  比如這裡 你看見左上角那個就是Vamo
[11:05.260 --> 11:07.100]  有沒有搭過你們那邊 有沒有
[11:07.100 --> 11:09.300]  比如你在LA downtown
[11:09.300 --> 11:11.100]  你很快就會見到的了
[11:11.100 --> 11:14.100]  就是那些無人駕駛的士
[11:14.100 --> 11:15.980]  Waymo很容易認的
[11:15.980 --> 11:19.280]  車頂、兩邊有很多感應器的
[11:19.280 --> 11:23.860]  另外旁邊那個就是Shake Shack的那些
[11:23.860 --> 11:30.240]  送文件、送食物的機器人
[11:30.240 --> 11:33.860]  有些機器人比如這個Optimus
[11:33.860 --> 11:37.860]  就是Tesla的
[11:37.860 --> 11:39.960]  最近美國的新聞就是
[11:39.960 --> 11:42.960]  它現在開始坐這個Counter
[11:42.960 --> 11:46.580]  譬如在LA這裡有一個地方叫做Diamond Bar
[11:46.580 --> 11:49.560]  它的City Hall就是這個機器人
[11:49.560 --> 11:51.040]  你一靠近它 它就會問你
[11:51.040 --> 11:53.100]  它能夠幫到你什麼
[11:53.100 --> 11:59.020]  那些機器人也都幫忙執法
[11:59.020 --> 12:03.560]  數了幾天我就看到這輛車
[12:03.560 --> 12:06.000]  不知道你有沒有留意這些科技
[12:06.000 --> 12:08.000]  叫做Cybercap
[12:08.000 --> 12:11.720]  其實呢 Waymo 就是Google的
[12:11.720 --> 12:15.300]  而Cybercap呢 就是這個Tesla的
[12:15.300 --> 12:17.300]  那我就不其而問一問題了
[12:17.300 --> 12:19.960]  那既然都不是什麼特別
[12:19.960 --> 12:21.820]  就是無人駕駛的的士
[12:21.820 --> 12:25.260]  那這個Cybercap有什麼特別呢?
[12:25.260 --> 12:26.860]  有沒有留意?
[12:26.860 --> 12:30.760]  那我在街上看到他試車
[12:30.760 --> 12:33.060]  這個就是特別之處了
[12:33.060 --> 12:35.900]  就是沒有太盤的
[12:38.000 --> 12:40.300]  也都沒有國際的
[12:40.300 --> 12:41.900]  那如果是所謂的龍飛船
[12:41.900 --> 12:46.900]  SpaceX那些接人去國際太空站的飛船
[12:46.900 --> 12:48.300]  其實就是這樣的了
[12:48.300 --> 12:51.000]  你上船只有一個手機在那裡
[12:51.000 --> 12:53.700]  只有一個手機在那裡
[12:53.700 --> 12:55.300]  那就連軚盤都沒有的
[12:55.300 --> 12:58.000]  所以不知道有什麼事都不知道怎麼辦
[13:00.200 --> 13:03.800]  今天我們講殺手機系人
[13:03.800 --> 13:04.800]  Killer Robot
[13:04.800 --> 13:07.200]  其實這個是一個俗稱來的
[13:07.200 --> 13:09.600]  它的學名其實是什麼呢?
[13:09.600 --> 13:14.620]  就是一個Litho Autonomous Weapon
[13:14.620 --> 13:18.680]  就是致命的、自主的武器
[13:18.680 --> 13:20.380]  顧名思義就是一個武器
[13:20.380 --> 13:23.280]  不過它有兩個要素
[13:23.280 --> 13:27.800]  第一就是它配備致命的武器
[13:27.800 --> 13:29.040]  第二樣東西是什麼呢?
[13:29.040 --> 13:33.020]  它是自主的,一會兒我們會講到
[13:33.020 --> 13:35.380]  所以殺手機械人
[13:35.380 --> 13:37.620]  其實它就是具備這兩個特點
[13:37.620 --> 13:40.440]  第一 它有致命的武器
[13:40.440 --> 13:43.440]  第二就是它自主
[13:44.740 --> 13:46.640]  那不知道你心目中
[13:46.640 --> 13:49.320]  殺手機器人是怎麼樣的呢?
[13:49.320 --> 13:51.320]  會不會是這樣的呢?
[13:55.720 --> 13:58.720]  曾幾何時有些戲呢
[13:58.720 --> 14:03.480]  Terminator 或者 Robocop 你都見到類似的
[14:03.480 --> 14:06.400]  但是這些都是拍片
[14:06.400 --> 14:09.680]  近似一些現實的就是比如Big Dog
[14:09.680 --> 14:11.680]  在上面有一支槍
[14:11.680 --> 14:17.460]  又或者有一些履帶的機器人
[14:17.460 --> 14:19.460]  那你說 不是的 不是的
[14:19.460 --> 14:22.020]  我在電視上看到那些機器人
[14:22.020 --> 14:26.560]  那些殺手機器人不是這樣的 是這樣的
[14:26.560 --> 14:31.700]  我在電視上 最近春晚我才見過這些殺手機器人
[14:31.700 --> 14:33.700]  懂得打聚拳的
[14:35.200 --> 14:40.300]  其實人形的機器人就未必最有優勢的
[14:40.300 --> 14:45.140]  因為你兩隻腳一定是不會夠四隻腳跑得快的
[14:45.140 --> 14:48.900]  另外加上如果地形是凹凸的一個方面
[14:48.900 --> 14:53.600]  我想你都不夠那些你帶車走得夠穩妥這樣
[14:55.180 --> 14:58.180]  其實除了伊朗戰爭之外
[14:58.180 --> 15:01.620]  還有一場戰爭 北京、北角已經打了四年多了
[15:01.620 --> 15:04.260]  就是俄羅斯烏克蘭的戰爭
[15:04.260 --> 15:08.380]  在上年裏面就曾經有這樣的一幕的
[15:08.380 --> 15:12.960]  就是有一些俄羅斯的軍人
[15:12.960 --> 15:16.400]  他就投降了 他就向一些部隊投降
[15:16.400 --> 15:18.440]  但是那些部隊是沒有真人的
