"speaker","start_time","end_time","transcription","translation"
"1","0","2.547","咁我今日嘅聚会呢有个名嘅,",""
"1","2.547","4.311","个名叫你的罪赦了,",""
"1","4.311","6.662","可能你觉得你咁唐突嘅呢,",""
"1","6.662","7.838","第一次见面,",""
"1","7.838","10.189","为何会讲你的罪赦免呢,",""
"1","10.189","11.757","咁旁边有幅画嘅,",""
"1","11.757","12.933","旁边有幅相,",""
"1","12.933","14.5","咁其实嗰幅相呢,",""
"1","14.5","16.46","系从呢本书嗰度嚟嘅,",""
"1","16.46","19.007","咁我唔知你见唔见到我手上,",""
"1","19.007","20.77","依家揸住呢本书啦,",""
"1","20.77","21.946","咁呢本书咁,",""
"1","21.946","24.298","我諗就唔系好多人睇一明,",""
"1","24.298","26.845","因为呢佢用尼泊尔文写成嘅,",""
"1","26.845","29.392","咁我就喺呢个加德满都买嘅,",""
"1","29.392","29.98","咁就,",""
"1","30","35.38","这里是主耶稣在地上的一件事",""
"1","35.38","37.16","稍后我们会有机会讲一下",""
"1","37.16","42.28","刚才当你听完Killy",""
"1","42.28","43.94","听完细辉说",""
"1","43.94","46.38","不知道你羡慕他们人生的改变",""
"1","46.38","50.92","我就想起圣经这一句话",""
"1","50.92","51.84","它说什么呢",""
"1","51.84","54.42","唯有那个以力量束我们腰",""
"1","54.42","56.88","使我们行为完全的",""
"1","56.88","57.48","它是神",""
"1","57.48","63.12","今日我们认识这位神,他不是一道道理,他是活生生的一位",""
"1","63.12","66.44","有人说近朱者赤,近物者黑",""
"1","66.44","72.32","你发觉信神的人,他人生都有改变,有经历",""
"1","72.32","77.96","都会变好,从这里你可以看见,不单是神是真,并且他是很好的",""
"1","77.96","82.56","他是用力量束我们的腰,使我们行为完全的那一位",""
"1","82.56","87.56","我都盼望你今日因着认识这位神",""
"1","87.56","89.56","你人生都有这样的改变",""
"1","89.56","95.56","在我的枱头有一个摆设",""
"1","95.56","98.56","经常提醒我神是很真实的",""
"1","98.56","102.56","你见不见到我手上握着这件事",""
"1","102.56","105.56","可能就黑一点",""
"1","105.56","110.56","其实这个是一个磁浮的地球仪",""
"1","110.56","113.56","咁我有时都买嘢送畀自己",""
"1","113.56","117.56","咁就呢个地球仪提醒我啲咩嘢呢",""
"1","117.56","124.56","咁喺以前呢好多人呢以为地球系平嘅",""
"1","124.56","128.56","所以到今日呢都有一个学会叫做国际地平学会",""
"1","128.56","131.56","就话地球系平嘅咁样",""
"1","131.56","134.56","咁所以以前嗰啲人讲呢",""
"1","134.56","136.56","行船跑马三分险",""
"1","136.56","137.56","点解呀",""
"1","137.56","139.56","点解行船咁危险呀",""
"1","139.56","141.56","因为他觉得地球是平的",""
"1","141.56","143.06","如果走得远",""
"1","143.06","144.56","他就会跌下去",""
"1","144.56","146.56","好像一个瀑布中了下去",""
"1","146.56","148.56","所以以前那些人航海",""
"1","148.56","151.06","就会贴着在岸边走的",""
"1","151.06","153.06","走一阵又远岸",""
"1","153.06","154.06","下一阵又远岸",""
"1","154.06","155.56","不敢远洋航行的",""
"1","155.56","158.56","因为他怕跌下去瀑布",""
"1","158.56","160.56","你发觉",""
"1","160.56","163.56","人什么时候才知道",""
"1","163.56","165.56","原来地球是圆的呢",""
"1","165.56","167.56","其实去到这个",""
"1","167.56","170.06","你见到呢度有两幅相啦",""
"1","170.06","172.06","咁就去到呢个希腊时代呢",""
"1","172.06","174.46","去到呢个公元前二三百年呢",""
"1","174.46","176.66","咁有啲人都想㗎喇都諗㗎喇",""
"1","176.66","177.06","就系咩",""
"1","177.06","177.46","啊",""
"1","177.46","179.26","睇见月食慨时候呢",""
"1","179.26","179.76","啊",""
"1","179.76","181.36","月球有个阴影喎",""
"1","181.36","182.06","即系太",""
"1","182.06","184.26","地球遮住咗太阳嘛",""
"1","184.26","186.26","有个阴影投射有啲弧度喎",""
"1","186.26","186.56","啊",""
"1","186.56","189.06","所以都猜想地球系有弧度㗎",""
"1","189.06","189.56","啊",""
"1","189.56","191.06","比如有亦都有人留意到呢",""
"1","191.06","191.56","就系",""
"1","191.56","192.86","喺同一日里面呢",""
"1","192.86","194.66","就喺唔同慨地方呢",""
"1","194.66","199","发觉太阳照射的影是有不同的",""
"1","199.78","202.42","在埃及的地方,影是垂直的",""
"1","202.6","204.38","但是过了几百里之后",""
"1","204.64","206.7","影就有一个角度",""
"1","206.94","209.76","猜想到地球是有弧度的",""
"1","210.28","213.6","但是到什么时候才证明到地球是圆的呢?",""
"1","213.86","215.9","其实是去到中世纪,去到16世纪",""
"1","216.42","220.26","所以为什么哥伦布、默哲伦那些这么出名呢?",""
"1","220.52","224.36","因为他们的发现是冒着生命危险的",""
"1","224.36","232.36","因为如果远洋行行,地球如果真的好像方的话,他们就一去回不了头了。",""
"1","232.36","240.36","但是原来在圣经里面,有句这样的说话,在圣经《以赛亚书》里面,",""
"1","240.36","246.716","《以赛亚书》是什么时候写的呢?就是在公元前的七八年,",""
"1","246.716","249.649","相当于中国的东周的时候,",""
"1","249.649","251.36","比春秋还要早。",""
"1","251.36","257.36","圣经里面有一个这样的说话,神坐在地球大圈之上",""
"1","257.36","262.36","原来圣经早就告诉我们,在2700年前已经告诉我们",""
"1","262.36","265.36","地球是大圈来的",""
"1","265.36","272.36","原文的字有个意思就是立体的,三维的",""
"1","272.36","276.36","所以有些英文就译作The sphere of the earth",""
"1","276.36","280.36","即是说地球的球体上面",""
"1","280.36","281.359","又例如,",""
"1","281.359","285.853","以前的人就觉得地球一定是有东西吊住,",""
"1","285.853","287.601","有东西托住的,",""
"1","287.601","290.348","因为如果没有东西吊住,",""
"1","290.348","292.096","没有东西托住,",""
"1","292.096","293.594","就不断地跌,",""
"1","293.594","297.839","但是大家有没有一种跌的感觉?没有,",""
"1","297.839","300.087","一定是有东西吊住,",""
"1","300.087","301.585","有东西托住,",""
"1","301.585","305.58","所以你发觉在世界各地的神话里面,",""
"1","305.58","307.443","都有这样的传说,",""
"1","307.443","310.238","比如有些被龟托着的地球,",""
"1","310.238","311.868","有些是大笨象,",""
"1","311.868","313.498","有些是大力士,",""
"1","313.498","316.526","可能不知道会不会是托得久,",""
"1","316.526","317.691","会动一动,",""
"1","317.691","319.321","接着就会地震,",""
"1","319.321","320.718","在神话里面,",""
"1","320.718","323.28","在人的想象里面就这样,",""
